V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50
-0.488492,-0.112195,-4.388657,0.163416,-2.093601,1.113652,-0.764865,3.450793,-0.152681,-0.348202,-0.495684,0.416135,0.904270,-1.633028,-1.568950,-0.627407,0.499300,0.387866,-0.611451,0.145345,-1.402061,1.614962,0.120381,-2.037909,-0.239201,2.059641,-0.477315,-0.344320,-0.385620,-1.172154,-0.741287,-0.048145,1.009206,0.900652,0.517637,-0.427985,1.412951,-2.031426,0.336451,3.793564,-1.272086,-1.538775,-1.048660,-0.801934,-0.634316,-0.339364,-0.324411,-0.958263,0.442486,0.310811
-1.995301,-2.117414,-2.713141,-0.027999,-1.969446,1.662738,-1.358381,-1.376289,0.617280,-2.528672,-1.132752,-0.327720,-0.106401,1.686621,-0.964273,-0.868037,0.122745,1.299549,-0.208467,-0.447591,0.308335,-4.548246,1.039824,0.465957,-0.750188,-1.507993,-2.476459,6.183500,-2.697899,-0.064939,-0.879883,-0.708518,1.838325,-1.240180,0.055686,3.263957,-1.294247,-1.804479,0.139254,-11.438519,-0.668526,-2.497972,-0.197842,0.396785,-0.928315,-0.137075,-1.237310,-0.013083,-1.042504,-1.322786
-1.404853,-1.959769,-0.550187,-0.916435,1.624691,1.855172,3.595426,-1.501715,-0.562709,-0.810999,-0.361241,0.235920,-1.453286,-2.092393,0.499286,0.109312,0.832416,-0.455024,-0.701359,1.555015,-0.306826,1.090071,-1.000037,0.971400,1.608534,-0.824189,2.204584,-0.967564,0.873849,-1.567166,0.271231,-1.025902,3.599972,-1.688069,-0.133013,-0.568159,0.194520,-0.432300,0.938042,2.325882,-0.390719,1.162527,0.782281,-1.359351,-2.074411,-3.033604,-0.908482,-0.181068,0.967570,0.220152
0.719085,-0.530511,0.989662,0.035043,0.378724,0.780434,-0.996847,1.409509,-0.343413,1.297185,0.223188,-0.452428,0.119789,0.400485,0.029778,0.220517,0.756770,0.862494,-1.318844,-0.508351,1.282327,-4.399894,0.242408,-0.151437,0.446864,-0.944112,-0.571550,2.769840,0.546605,-0.409141,0.438856,0.417172,-1.782719,1.539236,-0.271026,2.289325,-1.690573,1.044206,-0.398711,-8.685859,0.300927,0.135555,0.542675,-0.448250,3.498578,0.974463,0.589280,0.211679,-0.952278,1.282095
-0.128754,0.988363,-1.384806,-1.013736,-4.893179,-2.621368,-2.901334,0.484738,1.861516,0.001368,2.284398,1.758323,0.715962,1.676392,-1.165589,-1.684598,-1.256464,0.550660,2.715919,3.029730,-1.689738,0.171146,-0.832889,-0.833530,-0.342105,1.235317,-2.931517,-0.854678,5.185480,-0.217458,-2.199662,0.002844,-12.466789,7.794381,-0.016433,-1.749745,4.074813,-0.136318,0.752154,1.283480,-1.433403,-1.666994,-0.677217,-0.678771,-2.655286,6.223567,-1.297206,0.310092,0.560947,0.425977
-1.439814,-0.819659,-1.376030,-0.244229,-1.011927,-0.720282,0.847661,0.361237,-0.119763,1.004961,-0.489274,0.876287,-0.305156,0.082197,1.760506,-0.108007,-0.050462,1.349454,0.561771,-0.107861,-0.451968,3.167591,0.474070,-0.131771,-1.286005,-0.300013,-2.666181,-1.189675,1.377893,-1.094131,0.140270,-0.434193,-3.468911,0.103105,-1.017119,-1.753738,0.723033,-0.004579,-1.568052,6.517170,0.345964,-2.983408,0.463278,-0.509482,-2.580096,1.590468,2.893809,1.205255,0.410231,-0.540516
-1.156140,-0.742706,1.724506,0.660217,-0.868866,-0.495737,0.443535,-0.082460,-0.816481,0.047755,-1.332941,-0.892055,0.099304,-0.335380,-0.781536,-0.095284,-0.277600,1.168478,-0.606007,-0.682265,0.402336,-3.297320,-0.587560,1.175264,1.227627,-1.529844,-0.300975,-2.321425,0.559934,-3.147684,-0.549000,-0.522167,-3.126277,2.014962,0.133591,1.146383,-0.614165,0.321085,0.070579,-3.250593,-0.773421,-2.329116,0.118541,0.394748,-2.788749,1.418246,-2.303970,-0.973189,0.935793,-1.087640
0.372209,-0.286306,0.334642,1.740935,-3.059737,0.597239,-1.710310,1.700903,-0.243810,1.141857,-0.586856,1.688377,0.826093,-1.222623,1.051512,-1.071933,0.093381,1.663853,1.419524,-2.243666,-2.730163,-0.074416,1.034195,-0.023145,1.991637,3.557807,1.254960,-1.110240,-0.335172,0.045590,-2.241072,-0.352192,-10.300819,10.423268,0.355870,-0.407974,2.436984,0.439504,1.763608,-0.449809,-0.668693,-1.445522,-0.825264,0.082966,-1.236418,5.597480,-0.144224,-0.434901,0.353786,1.304098
-1.362792,-0.993797,2.252837,1.025485,0.433711,2.425777,-0.538157,1.211666,0.312477,0.720347,-0.344834,-0.697799,0.920295,-0.099623,-0.159999,0.477641,0.623197,0.684280,0.824854,-3.954234,1.799212,-2.547339,0.190435,1.015425,0.742927,-0.496634,0.137263,5.542050,-2.897517,2.018258,0.309394,-0.639185,-1.768194,2.713340,0.984478,3.351369,-2.390839,-0.047907,-0.343886,-8.056562,-0.381537,-1.576733,1.050489,1.507438,0.783467,0.862100,-1.766545,-1.276175,-1.089958,1.346419
-0.587970,-0.194651,2.607641,1.252365,-0.129516,-0.047527,-0.164227,-0.272432,-1.388799,-2.202759,0.726828,-0.459840,-0.211915,1.797054,-0.114549,-0.195376,-0.098371,-0.705471,-0.855158,-1.802668,-0.730754,2.235304,-0.052107,-0.803674,-0.439054,0.610367,0.542140,2.199387,2.987655,-2.619142,-0.432930,0.031396,-5.237042,1.291564,0.992711,-0.587634,-0.474069,1.072772,1.566485,1.280634,0.226391,2.137039,-0.286343,-0.550137,0.093972,1.645587,2.442060,-0.778193,1.886311,-0.650073
0.209196,1.912015,-0.962219,0.506398,-1.281960,-0.434256,-0.752265,0.720614,0.240015,-1.591089,0.682191,0.647173,0.469533,0.577576,-0.061898,-0.258083,0.158463,-0.310062,0.240441,-1.288166,0.488302,-2.108515,0.002643,-0.021460,-1.685223,-2.972711,-3.232932,0.475574,1.065222,0.903027,-1.751750,-0.945717,-2.947935,2.930053,-0.444975,0.786972,1.338220,-0.115633,-2.182953,-3.737239,-0.955364,-0.336154,0.245706,1.535242,-1.595813,2.022938,-4.004312,-1.274197,-0.407150,-2.326269
-1.230362,-0.172415,-1.389462,-0.129827,-4.509886,5.360258,-2.774060,2.798435,-1.767513,0.484473,0.780069,2.633931,1.647536,-0.080746,0.343293,-0.945854,1.871452,-0.827872,-2.946711,0.243208,-1.875928,8.466998,1.163355,-0.145407,1.133439,0.388455,-2.589057,8.588717,1.182834,-2.796037,-2.934474,-1.409693,-10.000135,9.012930,1.195211,-2.152199,4.558064,0.184001,0.049779,7.913504,-0.691162,3.498476,-0.617275,1.696354,-5.200722,5.974683,-4.511496,-0.231108,0.690057,0.413334
0.728917,-0.053733,-0.752101,1.014196,0.619464,-0.505775,-0.960354,-0.969707,-0.459764,2.029747,0.001021,0.793570,0.024387,0.994809,-1.090396,-1.239504,-0.148343,0.647806,-0.646517,-2.763763,-0.484454,-2.040371,1.427084,0.187991,-0.383459,0.284059,0.318644,0.654702,-3.264457,-2.017672,-0.264824,1.936008,6.987816,-5.997499,1.584318,1.110176,1.418019,-0.903713,1.232871,-3.121526,-0.395332,-0.431556,0.211682,0.504710,-0.047839,-4.223732,-1.767098,1.361433,0.306789,0.344386
1.685343,0.800347,4.310254,0.446226,-0.023950,1.874141,-2.091808,0.638291,-1.281101,-0.775190,-0.549174,0.922906,1.315054,1.143708,1.111994,-0.687791,0.543849,-0.548892,-2.174508,-0.722731,-0.910800,8.243567,0.368848,-0.034984,-0.344010,0.739047,-0.221132,5.282595,-0.146972,-2.261696,0.487710,-0.383510,-4.382205,1.731696,0.066388,-3.516507,3.229031,1.700578,-0.627194,10.502601,0.086262,-0.002916,-0.764470,2.701859,1.611351,1.433024,-4.438701,-0.813398,1.129992,-0.186281
0.468508,0.534187,-1.231206,-1.873854,0.821848,-0.955580,-1.701343,0.267170,1.597397,0.350975,0.024599,1.077858,0.368219,1.414771,0.400741,0.291484,0.106676,0.680631,2.532434,2.823769,-2.334540,6.749900,-0.193388,0.592659,-0.693444,-0.024804,3.434390,-1.055664,-2.935046,2.741749,0.517944,1.108202,2.202852,-3.508129,0.863574,-5.002131,2.846163,-0.430797,0.963700,11.993467,-0.308295,-1.738912,0.223478,0.730974,-1.491843,-2.242123,-0.841425,-0.057498,0.354619,-1.013062
-0.294585,-0.055066,1.198496,1.550552,-3.056582,2.001868,-2.028083,2.044313,0.082749,-1.541016,0.029841,-0.840895,0.934327,0.537304,0.257797,-1.158052,0.752731,-1.490370,0.673906,-2.658666,-0.867333,-6.272735,0.518207,0.061444,-0.196174,0.833774,-1.756630,4.430625,-0.046601,0.621454,-2.099808,-0.471337,-7.978904,6.268203,-0.919643,4.963838,-0.398078,0.961061,0.229990,-13.431821,-2.100988,3.096880,-0.156903,-0.048083,0.510128,5.406163,-2.075880,0.087475,-0.321868,1.754566
